code,name,cal,prota,protv,fata,fatv,carb
79,Корюшка копч.в масле,340.0,23.2,0.0,26.3,0.0,0.0
80,Лещ в томате,134.0,14.1,0.0,7.0,0.0,2.8
81,Лещ копченый,160.0,29.7,0.0,4.6,0.0,0.0
82,Осетр в собств.соку,159.0,15.1,0.0,10.0,0.0,1.0
83,Печень минтая по приморски,474.0,6.0,0.0,50.0,0.0,0.0
84,Печень трески бланширов.,558.0,3.9,0.0,57.0,0.0,0.0
85,Печень трески в собств.соку,628.0,4.2,0.0,65.2,0.0,1.2
86,Печень трески в томате,530.0,3.6,0.0,54.1,0.0,2.9
190,Рыба консервированная в масле,625.0,4.0,0.0,62.5,0.0,1.5
87,Салака копч.в масле,376.0,17.4,0.0,32.4,0.0,0.0
88,Сардины бланширов.,281.0,17.2,0.0,22.6,0.0,0.0
229,Срдины атлантические 250г,220.0,19.0,0.0,18.0,0.0,0.0
89,Севрюга в томате,186.0,16.1,0.0,11.5,0.0,2.8
90,Сельдь бланширов.,335.0,14.6,0.0,29.6,0.0,0.0
91,Сельдь копченая,103.0,12.6,0.0,5.5,0.0,0.0
195,Сельдь соленая,129.0,10.8,0.0,8.1,0.0,0.0
92,Сом в томате,122.0,11.9,0.0,6.0,0.0,4.3
93,Судак бланширов.,286.0,19.0,0.0,22.2,0.0,0.0
94,Судак в собств.соку,116.0,22.8,0.0,2.4,0.0,0.0
95,Судак в томате,115.0,12.9,0.0,5.0,0.0,3.7
96,Треска копч.в масле,329.0,20.7,0.0,22.9,0.0,0.0
97,Шпроты в масле 160г,365.0,17.4,0.0,32.4,0.0,0.7
98,Щука в томате,103.0,10.0,0.0,3.8,0.0,3.6
101,Горох,293.0,0.0,15.7,0.0,2.2,50.1
102,Гречка,317.0,0.0,8.8,0.0,2.3,63.4
103,Кукуруза,340.0,0.0,8.4,0.0,4.3,64.9
104,"Макароны,лапша,вермишель",336.0,0.0,9.3,0.0,0.8,70.9
100,Манка,334.0,0.0,9.5,0.0,0.7,70.4
105,Овсянка,336.0,0.0,8.9,0.0,5.9,59.8
106,"Овсяные хлопья Геркулес",305.0,0.0,11.0,0.0,6.2,50.1
107,Перловая,310.0,0.0,6.3,0.0,1.2,66.2
108,"Пшеничная крупа Артек",326.0,0.0,12.5,0.0,0.7,71.8
109,Пшено,324.0,0.0,8.4,0.0,2.3,62.4
110,Рис,334.0,0.0,6.7,0.0,0.9,72.8
111,Толокно,359.0,0.0,11.6,0.0,5.9,62.7
112,Фасоль,292.0,0.0,16.2,0.0,1.9,50.7
113,Ячневая,310.0,0.0,6.3,0.0,1.2,66.2
225,Мука,334.0,0.0,10.3,0.0,1.1,70.0
115,Борщ консерв.,90.0,0.0,2.2,0.0,4.9,8.8
117,Кубики бульонные,100.0,0.0,3.0,0.0,5.0,10.0
118,Рассольник консерв.,102.0,0.0,3.0,0.0,5.0,11.8
119,Супы в пакетах,400.0,0.0,3.0,0.0,5.0,10.0
120,Щи из свеж.капусты конс.,86.0,0.0,2.2,0.0,5.0,8.1
222,Пюре картофельное сухое,315.0,0.0,7.9,0.0,0.3,73.8
224,"Макароны быстр.приг., 2 уп*N",367.0,0.0,11.63,0.0,2.19,75.2
230,"Пельмени, 1 уп 500гр",232.0,6.0,4.0,15.0,7.0,31.0
122,Батончики ореховые,501.0,0.0,9.9,0.0,33.6,39.7
199,Варенье,300.0,0.0,0.3,0.0,0.0,74.2
191,Глюкоза с витаминами,405.0,0.0,0.0,0.0,0.0,99.0
123,Драже помадное,360.0,0.0,1.1,0.0,2.3,83.9
124,Драже ореховое в шоколаде,484.0,0.0,5.4,0.0,17.5,66.1
197,Зефир,314.0,0.0,0.0,0.0,0.0,78.5
125,"Ирис Золотой ключик",385.0,0.0,3.9,0.0,9.0,72.2
126,Карамель леденцовая,357.0,0.0,0.0,0.0,0.0,89.2
127,Карамель с помадной начинкой,333.0,0.0,0.0,0.0,0.0,83.4
128,Карамель с фруктовой начинкой,330.0,0.0,0.0,0.0,0.0,82.6
196,Карамель с шок.-ореховой начинкой,400.0,0.0,3.2,0.0,9.2,76.5
130,Конфеты шок.грильяж,514.0,0.0,5.4,0.0,27.0,62.2
131,Конфеты шок.помадные,390.0,0.0,3.6,0.0,9.9,71.8
132,Конфеты шок.фруктовые,356.0,0.0,2.5,0.0,8.7,66.6
133,Мармелад желейный формовой,280.0,0.0,0.0,0.0,0.0,69.9
134,Мармелад яблочный формовой,255.0,0.0,0.0,0.0,0.0,64.7
135,Мед,318.0,0.0,0.3,0.0,0.0,77.2
136,Пастила,323.0,0.0,0.0,0.0,0.0,80.4
198,Повидло яблочное,250.0,0.0,0.3,0.0,0.0,62.0
137,Помадка фруктовая,346.0,0.0,0.0,0.0,0.0,86.5
138,Сахар,400.0,0.0,0.0,0.0,0.0,99.8
139,Тянучка сливочная,405.0,0.0,3.1,0.0,9.1,73.7
140,Халва арахисовая,498.0,0.0,16.7,0.0,30.4,39.2
141,Халва подсолнечная,506.0,0.0,18.8,0.0,31.5,36.7
142,Халва тахинная,510.0,0.0,13.9,0.0,32.5,40.3
143,Шоколад ванильный,542.0,0.0,5.1,0.0,33.1,55.3
144,"Шоколад Золотой ярлык",547.0,0.0,6.3,0.0,37.2,46.5
145,Шоколад молочный десертный,556.0,0.0,6.9,0.0,39.9,44.2
147,Горошек зеленый консерв.,37.0,0.0,2.3,0.0,0.0,6.8
201,Грибы белые,32.0,0.0,0.8,0.0,0.8,5.0
148,Грибы белые сушеные,362.0,0.0,30.2,0.0,12.6,29.3
149,"Икра баклажанная,кабачк.",128.0,0.0,1.6,0.0,10.3,6.8
150,Капуста сушеная (усыхает1/4),244.0,0.0,13.5,0.0,0.0,47.6
